key_name,en,fr,nl,de,comment
bf.coverage.title,Coverage Selection,Sélection de la couverture,Dekkingsselectie,Deckungsauswahl,Section title for coverage selection
bf.coverage.assistance.label,Include roadside assistance,Inclure l'assistance routière,Inclusief pechhulp,Pannenhilfe einschließen,Checkbox label for assistance coverage
bf.coverage.theft.deductible.label,Theft deductible,Franchise vol,Eigen risico diefstal,Diebstahl Selbstbehalt,Label for theft deductible selection
bf.coverage.theft.deductible.none,No deductible,Pas de franchise,Geen eigen risico,Kein Selbstbehalt,Option for no deductible
bf.coverage.theft.deductible.10pc,10% deductible,Franchise de 10%,10% eigen risico,10% Selbstbehalt,Option for 10% deductible
bf.coverage.damage.deductible.label,Damage deductible,Franchise dommages,Eigen risico schade,Schaden Selbstbehalt,Label for damage deductible selection
bf.coverage.damage.deductible.10pc,10% deductible,Franchise de 10%,10% eigen risico,10% Selbstbehalt,10% deductible option for damage
bf.coverage.damage.deductible.35fix,€35 fixed,35€ fixe,€35 vast,35€ fest,€35 fixed deductible option
bf.coverage.damage.deductible.75fix,€75 fixed,75€ fixe,€75 vast,75€ fest,€75 fixed deductible option
bf.coverage.package.label,Select your package,Sélectionnez votre formule,Selecteer uw pakket,Wählen Sie Ihr Paket,Label for package selection
bf.coverage.package.theft,Theft only,Vol uniquement,Alleen diefstal,Nur Diebstahl,Package with theft coverage only
bf.coverage.package.damage,Damage only,Dommages uniquement,Alleen schade,Nur Schaden,Package with damage coverage only
bf.coverage.package.comprehensive,Theft + Damage + Assistance,Vol + Dommages + Assistance,Diefstal + Schade + Pechhulp,Diebstahl + Schaden + Pannenhilfe,Comprehensive package with all coverages
bf.bike.title,About Your Bike,À propos de votre vélo,Over uw fiets,Über Ihr Fahrrad,Section title for bike information
bf.bike.make.label,Bike make,Marque du vélo,Fietsmerk,Fahrradmarke,Label for bike make/brand
bf.bike.make.placeholder,e.g. Canyon,p.ex. Canyon,bijv. Canyon,z.B. Canyon,Placeholder for bike make
bf.bike.model.label,Bike model,Modèle du vélo,Fietsmodel,Fahrradmodell,Label for bike model
bf.bike.model.placeholder,e.g. Spectral,p.ex. Spectral,bijv. Spectral,z.B. Spectral,Placeholder for bike model
bf.bike.serialNumber.label,Frame/Serial number,Numéro de série/cadre,Frame-/serienummer,Rahmen-/Seriennummer,Label for serial number
bf.bike.serialNumber.placeholder,Enter serial number,Entrez le numéro de série,Voer serienummer in,Seriennummer eingeben,Placeholder for serial number
bf.bike.value.label,Bike value (including accessories),Valeur du vélo (accessoires inclus),Fietswaarde (inclusief accessoires),Fahrradwert (inkl. Zubehör),Label for bike value
bf.bike.value.placeholder,Enter value in EUR,Entrez la valeur en EUR,Voer waarde in EUR in,Wert in EUR eingeben,Placeholder for bike value
bf.bike.value.min,Minimum value is €250,Valeur minimale : 250€,Minimale waarde is €250,Mindestwert beträgt 250€,Validation message for minimum value
bf.bike.value.max,Maximum value is €10000,Valeur maximale : 10 000€,Maximale waarde is €10.000,Höchstwert beträgt 10.000€,Validation message for maximum value
bf.bike.purchaseDate.label,Purchase date,Date d'achat,Aankoopdatum,Kaufdatum,Label for purchase date
bf.bike.newBike.label,Is this a new bike?,S'agit-il d'un vélo neuf ?,Is dit een nieuwe fiets?,Ist dies ein neues Fahrrad?,Label for new/used bike question
bf.bike.newBike.yes,Yes - New,Oui - Neuf,Ja - Nieuw,Ja - Neu,Option for new bike
bf.bike.newBike.no,No - Second-hand,Non - D'occasion,Nee - Tweedehands,Nein - Gebraucht,Option for second-hand bike
bf.bike.type.label,Bike type,Type de vélo,Fietstype,Fahrradtyp,Label for bike type selection
bf.bike.type.regular,Regular bike,Vélo classique,Gewone fiets,Normales Fahrrad,Regular non-electric bike
